journal	category
AIDS PATIENT CARE AND STDS	INFECTIOUS DISEASES
AIDS RESEARCH AND HUMAN RETROVIRUSES	INFECTIOUS DISEASES
AIDS RESEARCH AND THERAPY	INFECTIOUS DISEASES
AIDS REVIEWS	INFECTIOUS DISEASES
AMERICAN JOURNAL OF INFECTION CONTROL	INFECTIOUS DISEASES
ANTIMICROBIAL RESISTANCE AND INFECTION CONTROL	INFECTIOUS DISEASES
ANTIVIRAL THERAPY	INFECTIOUS DISEASES
BMC INFECTIOUS DISEASES	INFECTIOUS DISEASES
BOLETIN DE MALARIOLOGIA Y SALUD AMBIENTAL	INFECTIOUS DISEASES
BRAZILIAN JOURNAL OF INFECTIOUS DISEASES	INFECTIOUS DISEASES
CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY	INFECTIOUS DISEASES
CLINICAL AND VACCINE IMMUNOLOGY	INFECTIOUS DISEASES
CLINICAL INFECTIOUS DISEASES	INFECTIOUS DISEASES
CLINICAL MICROBIOLOGY AND INFECTION	INFECTIOUS DISEASES
CURRENT HIV RESEARCH	INFECTIOUS DISEASES
CURRENT HIV/AIDS REPORTS	INFECTIOUS DISEASES
CURRENT INFECTIOUS DISEASE REPORTS	INFECTIOUS DISEASES
CURRENT OPINION IN HIV AND AIDS	INFECTIOUS DISEASES
CURRENT OPINION IN INFECTIOUS DISEASES	INFECTIOUS DISEASES
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE	INFECTIOUS DISEASES
EMERGING INFECTIOUS DISEASES	INFECTIOUS DISEASES
ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA	INFECTIOUS DISEASES
EPIDEMICS	INFECTIOUS DISEASES
EPIDEMIOLOGY AND INFECTION	INFECTIOUS DISEASES
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES	INFECTIOUS DISEASES
EUROSURVEILLANCE	INFECTIOUS DISEASES
HIV CLINICAL TRIALS	INFECTIOUS DISEASES
HIV MEDICINE	INFECTIOUS DISEASES
INFECTION	INFECTIOUS DISEASES
INFECTION AND DRUG RESISTANCE	INFECTIOUS DISEASES
INFECTION AND IMMUNITY	INFECTIOUS DISEASES
INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY	INFECTIOUS DISEASES
INFECTION GENETICS AND EVOLUTION	INFECTIOUS DISEASES
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA	INFECTIOUS DISEASES
INFECTIOUS DISEASES	INFECTIOUS DISEASES
INFECTIOUS DISEASES OF POVERTY	INFECTIOUS DISEASES
INFLUENZA AND OTHER RESPIRATORY VIRUSES	INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS	INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH	INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES	INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF STD & AIDS	INFECTIOUS DISEASES
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE	INFECTIOUS DISEASES
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES	INFECTIOUS DISEASES
JAPANESE JOURNAL OF INFECTIOUS DISEASES	INFECTIOUS DISEASES
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY	INFECTIOUS DISEASES
JOURNAL OF CHEMOTHERAPY	INFECTIOUS DISEASES
JOURNAL OF GLOBAL ANTIMICROBIAL RESISTANCE	INFECTIOUS DISEASES
JOURNAL OF HOSPITAL INFECTION	INFECTIOUS DISEASES
JOURNAL OF INFECTION	INFECTIOUS DISEASES
JOURNAL OF INFECTION AND CHEMOTHERAPY	INFECTIOUS DISEASES
JOURNAL OF INFECTION AND PUBLIC HEALTH	INFECTIOUS DISEASES
JOURNAL OF INFECTION IN DEVELOPING COUNTRIES	INFECTIOUS DISEASES
JOURNAL OF INFECTIOUS DISEASES	INFECTIOUS DISEASES
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION	INFECTIOUS DISEASES
JOURNAL OF PEDIATRIC INFECTIOUS DISEASES	INFECTIOUS DISEASES
JOURNAL OF THE INTERNATIONAL AIDS SOCIETY	INFECTIOUS DISEASES
JOURNAL OF THE PEDIATRIC INFECTIOUS DISEASES SOCIETY	INFECTIOUS DISEASES
JOURNAL OF TRAVEL MEDICINE	INFECTIOUS DISEASES
JOURNAL OF VECTOR BORNE DISEASES	INFECTIOUS DISEASES
JOURNAL OF VIRAL HEPATITIS	INFECTIOUS DISEASES
LANCET HIV	INFECTIOUS DISEASES
LANCET INFECTIOUS DISEASES	INFECTIOUS DISEASES
LEPROSY REVIEW	INFECTIOUS DISEASES
MALARIA JOURNAL	INFECTIOUS DISEASES
MEDECINE ET MALADIES INFECTIEUSES	INFECTIOUS DISEASES
MEDICAL MYCOLOGY	INFECTIOUS DISEASES
MEDITERRANEAN JOURNAL OF HEMATOLOGY AND INFECTIOUS DISEASES	INFECTIOUS DISEASES
MICROBES AND INFECTION	INFECTIOUS DISEASES
MICROBIAL DRUG RESISTANCE	INFECTIOUS DISEASES
OPEN FORUM INFECTIOUS DISEASES	INFECTIOUS DISEASES
PATHOGENS AND DISEASE	INFECTIOUS DISEASES
PEDIATRIC INFECTIOUS DISEASE JOURNAL	INFECTIOUS DISEASES
REVISTA CHILENA DE INFECTOLOGIA	INFECTIOUS DISEASES
SEXUAL HEALTH	INFECTIOUS DISEASES
SEXUALLY TRANSMITTED DISEASES	INFECTIOUS DISEASES
SEXUALLY TRANSMITTED INFECTIONS	INFECTIOUS DISEASES
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH	INFECTIOUS DISEASES
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE	INFECTIOUS DISEASES
SURGICAL INFECTIONS	INFECTIOUS DISEASES
TICKS AND TICK-BORNE DISEASES	INFECTIOUS DISEASES
TRANSBOUNDARY AND EMERGING DISEASES	INFECTIOUS DISEASES
TRANSPLANT INFECTIOUS DISEASE	INFECTIOUS DISEASES
TRAVEL MEDICINE AND INFECTIOUS DISEASE	INFECTIOUS DISEASES
VECTOR-BORNE AND ZOONOTIC DISEASES	INFECTIOUS DISEASES
VIRULENCE	INFECTIOUS DISEASES
ZOONOSES AND PUBLIC HEALTH	INFECTIOUS DISEASES
ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH	INTEGRATIVE & COMPLEMENTARY MEDICINE
ACUPUNCTURE IN MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
AMERICAN JOURNAL OF CHINESE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
BOLETIN LATINOAMERICANO Y DEL CARIBE DE PLANTAS MEDICINALES Y AROMATICAS	INTEGRATIVE & COMPLEMENTARY MEDICINE
CHINESE JOURNAL OF INTEGRATIVE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
CHINESE JOURNAL OF NATURAL MEDICINES	INTEGRATIVE & COMPLEMENTARY MEDICINE
CHINESE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
COMPLEMENTARY MEDICINE RESEARCH	INTEGRATIVE & COMPLEMENTARY MEDICINE
COMPLEMENTARY THERAPIES IN CLINICAL PRACTICE	INTEGRATIVE & COMPLEMENTARY MEDICINE
COMPLEMENTARY THERAPIES IN MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
EXPLORE-THE JOURNAL OF SCIENCE AND HEALING	INTEGRATIVE & COMPLEMENTARY MEDICINE
HOLISTIC NURSING PRACTICE	INTEGRATIVE & COMPLEMENTARY MEDICINE
HOMEOPATHY	INTEGRATIVE & COMPLEMENTARY MEDICINE
INTEGRATIVE CANCER THERAPIES	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF ETHNOPHARMACOLOGY	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF GINSENG RESEARCH	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF HERBAL MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS	INTEGRATIVE & COMPLEMENTARY MEDICINE
JOURNAL OF TRADITIONAL CHINESE MEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
PHYTOMEDICINE	INTEGRATIVE & COMPLEMENTARY MEDICINE
PLANTA MEDICA	INTEGRATIVE & COMPLEMENTARY MEDICINE
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY	LIMNOLOGY
AQUATIC ECOLOGY	LIMNOLOGY
AQUATIC SCIENCES	LIMNOLOGY
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	LIMNOLOGY
FUNDAMENTAL AND APPLIED LIMNOLOGY	LIMNOLOGY
INLAND WATERS	LIMNOLOGY
JOURNAL OF FRESHWATER ECOLOGY	LIMNOLOGY
JOURNAL OF GREAT LAKES RESEARCH	LIMNOLOGY
JOURNAL OF LIMNOLOGY	LIMNOLOGY
JOURNAL OF OCEANOLOGY AND LIMNOLOGY	LIMNOLOGY
JOURNAL OF PALEOLIMNOLOGY	LIMNOLOGY
LAKE AND RESERVOIR MANAGEMENT	LIMNOLOGY
LIMNETICA	LIMNOLOGY
LIMNOLOGICA	LIMNOLOGY
LIMNOLOGY	LIMNOLOGY
LIMNOLOGY AND OCEANOGRAPHY	LIMNOLOGY
LIMNOLOGY AND OCEANOGRAPHY-METHODS	LIMNOLOGY
MARINE AND FRESHWATER RESEARCH	LIMNOLOGY
WATER AND ENVIRONMENT JOURNAL	LIMNOLOGY
WATER ENVIRONMENT RESEARCH	LIMNOLOGY
WATER RESOURCES RESEARCH	LIMNOLOGY
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC	LOGIC
ALGEBRA AND LOGIC	LOGIC
ANNALS OF PURE AND APPLIED LOGIC	LOGIC
ARCHIVE FOR MATHEMATICAL LOGIC	LOGIC
BULLETIN OF SYMBOLIC LOGIC	LOGIC
HISTORY AND PHILOSOPHY OF LOGIC	LOGIC
JOURNAL OF LOGIC AND COMPUTATION	LOGIC
JOURNAL OF LOGIC LANGUAGE AND INFORMATION	LOGIC
JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING	LOGIC
JOURNAL OF MATHEMATICAL LOGIC	LOGIC
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING	LOGIC
JOURNAL OF SYMBOLIC LOGIC	LOGIC
LOGIC JOURNAL OF THE IGPL	LOGIC
LOGICAL METHODS IN COMPUTER SCIENCE	LOGIC
MATHEMATICAL LOGIC QUARTERLY	LOGIC
NOTRE DAME JOURNAL OF FORMAL LOGIC	LOGIC
REPORTS ON MATHEMATICAL LOGIC	LOGIC
REVIEW OF SYMBOLIC LOGIC	LOGIC
STUDIA LOGICA	LOGIC
THEORY AND PRACTICE OF LOGIC PROGRAMMING	LOGIC
ACTA ADRIATICA	MARINE & FRESHWATER BIOLOGY
ADVANCES IN MARINE BIOLOGY	MARINE & FRESHWATER BIOLOGY
AFRICAN JOURNAL OF AQUATIC SCIENCE	MARINE & FRESHWATER BIOLOGY
AFRICAN JOURNAL OF MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
ALGAE	MARINE & FRESHWATER BIOLOGY
AMERICAN MALACOLOGICAL BULLETIN	MARINE & FRESHWATER BIOLOGY
ANNUAL REVIEW OF MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
AQUACULTURE	MARINE & FRESHWATER BIOLOGY
AQUACULTURE ENVIRONMENT INTERACTIONS	MARINE & FRESHWATER BIOLOGY
AQUATIC BIOLOGY	MARINE & FRESHWATER BIOLOGY
AQUATIC BOTANY	MARINE & FRESHWATER BIOLOGY
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS	MARINE & FRESHWATER BIOLOGY
AQUATIC ECOLOGY	MARINE & FRESHWATER BIOLOGY
AQUATIC ECOSYSTEM HEALTH & MANAGEMENT	MARINE & FRESHWATER BIOLOGY
AQUATIC INVASIONS	MARINE & FRESHWATER BIOLOGY
AQUATIC LIVING RESOURCES	MARINE & FRESHWATER BIOLOGY
AQUATIC MAMMALS	MARINE & FRESHWATER BIOLOGY
AQUATIC MICROBIAL ECOLOGY	MARINE & FRESHWATER BIOLOGY
AQUATIC SCIENCES	MARINE & FRESHWATER BIOLOGY
AQUATIC TOXICOLOGY	MARINE & FRESHWATER BIOLOGY
ARCHIV FUR MOLLUSKENKUNDE	MARINE & FRESHWATER BIOLOGY
BIOFOULING	MARINE & FRESHWATER BIOLOGY
BIOLOGICAL BULLETIN	MARINE & FRESHWATER BIOLOGY
BOTANICA MARINA	MARINE & FRESHWATER BIOLOGY
BRAZILIAN JOURNAL OF OCEANOGRAPHY	MARINE & FRESHWATER BIOLOGY
BULLETIN OF MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS	MARINE & FRESHWATER BIOLOGY
CAHIERS DE BIOLOGIE MARINE	MARINE & FRESHWATER BIOLOGY
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES	MARINE & FRESHWATER BIOLOGY
CIENCIAS MARINAS	MARINE & FRESHWATER BIOLOGY
CLEAN-SOIL AIR WATER	MARINE & FRESHWATER BIOLOGY
CORAL REEFS	MARINE & FRESHWATER BIOLOGY
CRUSTACEANA	MARINE & FRESHWATER BIOLOGY
CRYPTOGAMIE ALGOLOGIE	MARINE & FRESHWATER BIOLOGY
DIATOM RESEARCH	MARINE & FRESHWATER BIOLOGY
ECOLOGY OF FRESHWATER FISH	MARINE & FRESHWATER BIOLOGY
ENVIRONMENTAL BIOLOGY OF FISHES	MARINE & FRESHWATER BIOLOGY
ESTUARIES AND COASTS	MARINE & FRESHWATER BIOLOGY
ESTUARINE COASTAL AND SHELF SCIENCE	MARINE & FRESHWATER BIOLOGY
EUROPEAN JOURNAL OF PHYCOLOGY	MARINE & FRESHWATER BIOLOGY
FISH & SHELLFISH IMMUNOLOGY	MARINE & FRESHWATER BIOLOGY
FRESHWATER BIOLOGY	MARINE & FRESHWATER BIOLOGY
FRESHWATER SCIENCE	MARINE & FRESHWATER BIOLOGY
FUNDAMENTAL AND APPLIED LIMNOLOGY	MARINE & FRESHWATER BIOLOGY
HARMFUL ALGAE	MARINE & FRESHWATER BIOLOGY
HELGOLAND MARINE RESEARCH	MARINE & FRESHWATER BIOLOGY
HIDROBIOLOGICA	MARINE & FRESHWATER BIOLOGY
HYDROBIOLOGIA	MARINE & FRESHWATER BIOLOGY
ICES JOURNAL OF MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS	MARINE & FRESHWATER BIOLOGY
INLAND WATER BIOLOGY	MARINE & FRESHWATER BIOLOGY
INLAND WATERS	MARINE & FRESHWATER BIOLOGY
INTERNATIONAL REVIEW OF HYDROBIOLOGY	MARINE & FRESHWATER BIOLOGY
INVERTEBRATE BIOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF APPLIED ICHTHYOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF APPLIED PHYCOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF AQUATIC PLANT MANAGEMENT	MARINE & FRESHWATER BIOLOGY
JOURNAL OF COASTAL CONSERVATION	MARINE & FRESHWATER BIOLOGY
JOURNAL OF CONCHOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF CRUSTACEAN BIOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF FISH BIOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF FISH DISEASES	MARINE & FRESHWATER BIOLOGY
JOURNAL OF GREAT LAKES RESEARCH	MARINE & FRESHWATER BIOLOGY
JOURNAL OF MARINE SYSTEMS	MARINE & FRESHWATER BIOLOGY
JOURNAL OF MOLLUSCAN STUDIES	MARINE & FRESHWATER BIOLOGY
JOURNAL OF PHYCOLOGY	MARINE & FRESHWATER BIOLOGY
JOURNAL OF PLANKTON RESEARCH	MARINE & FRESHWATER BIOLOGY
JOURNAL OF SEA RESEARCH	MARINE & FRESHWATER BIOLOGY
JOURNAL OF SHELLFISH RESEARCH	MARINE & FRESHWATER BIOLOGY
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM	MARINE & FRESHWATER BIOLOGY
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS	MARINE & FRESHWATER BIOLOGY
LAKE AND RESERVOIR MANAGEMENT	MARINE & FRESHWATER BIOLOGY
LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH	MARINE & FRESHWATER BIOLOGY
LIMNETICA	MARINE & FRESHWATER BIOLOGY
MARINE AND COASTAL FISHERIES	MARINE & FRESHWATER BIOLOGY
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY	MARINE & FRESHWATER BIOLOGY
MARINE AND FRESHWATER RESEARCH	MARINE & FRESHWATER BIOLOGY
MARINE BIODIVERSITY	MARINE & FRESHWATER BIOLOGY
MARINE BIOLOGY	MARINE & FRESHWATER BIOLOGY
MARINE BIOLOGY RESEARCH	MARINE & FRESHWATER BIOLOGY
MARINE BIOTECHNOLOGY	MARINE & FRESHWATER BIOLOGY
MARINE ECOLOGY PROGRESS SERIES	MARINE & FRESHWATER BIOLOGY
MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE	MARINE & FRESHWATER BIOLOGY
MARINE ENVIRONMENTAL RESEARCH	MARINE & FRESHWATER BIOLOGY
MARINE MAMMAL SCIENCE	MARINE & FRESHWATER BIOLOGY
MARINE POLLUTION BULLETIN	MARINE & FRESHWATER BIOLOGY
MEDITERRANEAN MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
MICROBIAL ECOLOGY	MARINE & FRESHWATER BIOLOGY
NAUTILUS	MARINE & FRESHWATER BIOLOGY
NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH	MARINE & FRESHWATER BIOLOGY
OCEAN SCIENCE JOURNAL	MARINE & FRESHWATER BIOLOGY
OCEANOGRAPHY AND MARINE BIOLOGY	MARINE & FRESHWATER BIOLOGY
PACIFIC SCIENCE	MARINE & FRESHWATER BIOLOGY
PHYCOLOGIA	MARINE & FRESHWATER BIOLOGY
PHYCOLOGICAL RESEARCH	MARINE & FRESHWATER BIOLOGY
PLANKTON & BENTHOS RESEARCH	MARINE & FRESHWATER BIOLOGY
REGIONAL STUDIES IN MARINE SCIENCE	MARINE & FRESHWATER BIOLOGY
REVIEWS IN FISH BIOLOGY AND FISHERIES	MARINE & FRESHWATER BIOLOGY
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA	MARINE & FRESHWATER BIOLOGY
RUSSIAN JOURNAL OF MARINE BIOLOGY	MARINE & FRESHWATER BIOLOGY
SCIENTIA MARINA	MARINE & FRESHWATER BIOLOGY
THALASSAS	MARINE & FRESHWATER BIOLOGY
TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES	MARINE & FRESHWATER BIOLOGY
UNDERSEA AND HYPERBARIC MEDICINE	MARINE & FRESHWATER BIOLOGY
VIE ET MILIEU-LIFE AND ENVIRONMENT	MARINE & FRESHWATER BIOLOGY
ACS BIOMATERIALS SCIENCE & ENGINEERING	MATERIALS SCIENCE, BIOMATERIALS
ACTA BIOMATERIALIA	MATERIALS SCIENCE, BIOMATERIALS
ADVANCED HEALTHCARE MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
ARTIFICIAL CELLS NANOMEDICINE AND BIOTECHNOLOGY	MATERIALS SCIENCE, BIOMATERIALS
BIO-MEDICAL MATERIALS AND ENGINEERING	MATERIALS SCIENCE, BIOMATERIALS
BIOFABRICATION	MATERIALS SCIENCE, BIOMATERIALS
BIOINSPIRATION & BIOMIMETICS	MATERIALS SCIENCE, BIOMATERIALS
BIOINSPIRED BIOMIMETIC AND NANOBIOMATERIALS	MATERIALS SCIENCE, BIOMATERIALS
BIOINTERPHASES	MATERIALS SCIENCE, BIOMATERIALS
BIOMATERIALS	MATERIALS SCIENCE, BIOMATERIALS
BIOMATERIALS SCIENCE	MATERIALS SCIENCE, BIOMATERIALS
BIOMEDICAL MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
CELLULAR POLYMERS	MATERIALS SCIENCE, BIOMATERIALS
COLLOIDS AND SURFACES B-BIOINTERFACES	MATERIALS SCIENCE, BIOMATERIALS
DENTAL MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
DENTAL MATERIALS JOURNAL	MATERIALS SCIENCE, BIOMATERIALS
EUROPEAN CELLS & MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF APPLIED BIOMATERIALS & FUNCTIONAL MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOBASED MATERIALS AND BIOENERGY	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOMATERIALS APPLICATIONS	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIOMEDICAL NANOTECHNOLOGY	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF BIONIC ENGINEERING	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF MATERIALS CHEMISTRY B	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF ORAL SCIENCE	MATERIALS SCIENCE, BIOMATERIALS
JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS	MATERIALS SCIENCE, BIOMATERIALS
MACROMOLECULAR BIOSCIENCE	MATERIALS SCIENCE, BIOMATERIALS
MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS	MATERIALS SCIENCE, BIOMATERIALS
REGENERATIVE BIOMATERIALS	MATERIALS SCIENCE, BIOMATERIALS
ADVANCES IN APPLIED CERAMICS	MATERIALS SCIENCE, CERAMICS
AMERICAN CERAMIC SOCIETY BULLETIN	MATERIALS SCIENCE, CERAMICS
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO	MATERIALS SCIENCE, CERAMICS
CERAMICS INTERNATIONAL	MATERIALS SCIENCE, CERAMICS
CERAMICS-SILIKATY	MATERIALS SCIENCE, CERAMICS
GLASS AND CERAMICS	MATERIALS SCIENCE, CERAMICS
GLASS PHYSICS AND CHEMISTRY	MATERIALS SCIENCE, CERAMICS
GLASS TECHNOLOGY-EUROPEAN JOURNAL OF GLASS SCIENCE AND TECHNOLOGY PART A	MATERIALS SCIENCE, CERAMICS
INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY	MATERIALS SCIENCE, CERAMICS
INTERNATIONAL JOURNAL OF APPLIED GLASS SCIENCE	MATERIALS SCIENCE, CERAMICS
JOURNAL OF ADVANCED CERAMICS	MATERIALS SCIENCE, CERAMICS
JOURNAL OF CERAMIC PROCESSING RESEARCH	MATERIALS SCIENCE, CERAMICS
JOURNAL OF CERAMIC SCIENCE AND TECHNOLOGY	MATERIALS SCIENCE, CERAMICS
JOURNAL OF ELECTROCERAMICS	MATERIALS SCIENCE, CERAMICS
JOURNAL OF INORGANIC MATERIALS	MATERIALS SCIENCE, CERAMICS
JOURNAL OF NON-CRYSTALLINE SOLIDS	MATERIALS SCIENCE, CERAMICS
JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY	MATERIALS SCIENCE, CERAMICS
JOURNAL OF THE AMERICAN CERAMIC SOCIETY	MATERIALS SCIENCE, CERAMICS
JOURNAL OF THE AUSTRALIAN CERAMIC SOCIETY	MATERIALS SCIENCE, CERAMICS
JOURNAL OF THE CERAMIC SOCIETY OF JAPAN	MATERIALS SCIENCE, CERAMICS
JOURNAL OF THE EUROPEAN CERAMIC SOCIETY	MATERIALS SCIENCE, CERAMICS
PHYSICS AND CHEMISTRY OF GLASSES-EUROPEAN JOURNAL OF GLASS SCIENCE AND TECH NOLOGY PART B	MATERIALS SCIENCE, CERAMICS
POWDER METALLURGY AND METAL CERAMICS	MATERIALS SCIENCE, CERAMICS
PROCESSING AND APPLICATION OF CERAMICS	MATERIALS SCIENCE, CERAMICS
REFRACTORIES AND INDUSTRIAL CERAMICS	MATERIALS SCIENCE, CERAMICS
SCIENCE OF SINTERING	MATERIALS SCIENCE, CERAMICS
TRANSACTIONS OF THE INDIAN CERAMIC SOCIETY	MATERIALS SCIENCE, CERAMICS
ADVANCED STEEL CONSTRUCTION	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
ARCHIVES OF MECHANICS	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
BETON- UND STAHLBETONBAU	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
COMPUTERS AND CONCRETE	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
ENGINEERING FAILURE ANALYSIS	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
EXPERIMENTAL MECHANICS	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
EXPERIMENTAL TECHNIQUES	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
HIGH TEMPERATURES-HIGH PRESSURES	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
INSIGHT	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
INTERNATIONAL JOURNAL OF PAVEMENT ENGINEERING	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
JOURNAL OF NONDESTRUCTIVE EVALUATION	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
JOURNAL OF SANDWICH STRUCTURES & MATERIALS	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
JOURNAL OF STRAIN ANALYSIS FOR ENGINEERING DESIGN	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
JOURNAL OF TESTING AND EVALUATION	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
MATERIALS CHARACTERIZATION	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
MATERIALS EVALUATION	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
MATERIALS PERFORMANCE	MATERIALS SCIENCE, CHARACTERIZATION & TESTING
